event_name,event_date,weight_class,fighter1,fighter2,method,round,outcome,timestamp
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Women's Flyweight,Alexa Grasso,Valentina Shevchenko,S-DEC,5,Draw,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Welterweight,Jack Della Maddalena,Kevin Holland,S-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Bantamweight,Raul Rosas Jr.,Terrence Mitchell,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Lightweight,Daniel Zellhuber,Christos Giagos,SUB              Anaconda Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Featherweight,Kyle Nelson,Fernando Padilla,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Women's Strawweight,Loopy Godinez,Elise Reed,SUB              Rear Naked Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Middleweight,Roman Kopylov,Josh Fremd,KO/TKO              Punch,2,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Flyweight,Edgar Chairez,Daniel Lacerda,Overturned,1,No contest,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Women's Flyweight,Tracy Cortez,Jasmine Jasudavicius,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Lightweight,Charlie Campbell,Alex Reyes,KO/TKO              Punches,1,fighter1,2023-09-21 02:02:55.178363
UFC Fight Night: Grasso vs. Shevchenko 2,2023-09-16,Women's Strawweight,Josefine Knutsson,Marnic Mann,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,2023-09-09,Middleweight,Sean Strickland,Israel Adesanya,U-DEC,5,fighter1,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,2023-09-09,Heavyweight,Alexander Volkov,Tai Tuivasa,SUB              Ezekiel Choke,2,fighter1,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,2023-09-09,Flyweight,Manel Kape,Felipe dos Santos,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,2023-09-09,Heavyweight,Justin Tafa,Austen Lane,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,2023-09-09,Light Heavyweight,Tyson Pedro,Anton Turkalj,KO/TKO              Punch,1,fighter1,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,2023-09-09,Light Heavyweight,Carlos Ulberg,Da Woon Jung,SUB              Rear Naked Choke,3,fighter1,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,2023-09-09,Featherweight,Chepe Mariscal,Jack Jenkins,KO/TKO,2,fighter1,2023-09-21 02:02:55.178363
UFC 293: Adesanya vs. Strickland,2023-09-09,Lightweight,Jamie Mullarkey,John Makdessi,U-DEC,3,fighter1,2023-09-21 02:02:55.178363
