event,favourite,underdog,favourite_odds,underdog_odds,outcome
UFC 159 - Jones vs. Sonnen,Jon Jones,Chael Sonnen,1.13,9.0,favourite
UFC 159 - Jones vs. Sonnen,Michael Bisping,Alan Belcher,1.57,4.5,favourite
UFC 159 - Jones vs. Sonnen,Roy Nelson,Cheick Kongo,1.43,3.2,favourite
UFC 159 - Jones vs. Sonnen,Phil Davis,Vinny Magalhaes,1.36,3.55,favourite
UFC 159 - Jones vs. Sonnen,Jim Miller,Pat Healy,1.4,3.4,underdog
UFC 159 - Jones vs. Sonnen,Rustam Khabilov,Yancy Medeiros,1.54,3.4,favourite
UFC 159 - Jones vs. Sonnen,Ovince St Preux,Gian Villante,1.69,2.4,favourite
UFC 159 - Jones vs. Sonnen,Sara McMann,Sheila Gaff,1.18,5.8,favourite
UFC 159 - Jones vs. Sonnen,Johnny Bedford,Bryan Caraway,1.91,2.15,underdog
UFC 159 - Jones vs. Sonnen,Leonard Garcia,Cody McKenzie,1.53,2.93,underdog
UFC 159 - Jones vs. Sonnen,Steven Siler,Kurt Holobaugh,1.95,2.06,favourite
UFC on FX 8 - Belfort vs. Rockhold,Vitor Belfort,Luke Rockhold,1.95,2.04,favourite
UFC on FX 8 - Belfort vs. Rockhold,Ronaldo Souza,Chris Camozzi,1.17,6.0,favourite
UFC on FX 8 - Belfort vs. Rockhold,Rafael dos Anjos,Evan Dunham,1.5,2.91,favourite
UFC on FX 8 - Belfort vs. Rockhold,Rafael Natal,Joao Zeferino,1.36,3.7,favourite
UFC on FX 8 - Belfort vs. Rockhold,Nik Lentz,Hacran Dias,1.99,2.1,favourite
UFC on FX 8 - Belfort vs. Rockhold,Francisco Trinaldo,Mike Rio,1.33,3.9,favourite
UFC on FX 8 - Belfort vs. Rockhold,Gleison Tibau,John Cholish,1.42,3.35,favourite
UFC on FX 8 - Belfort vs. Rockhold,Paulo Thiago,Michel Prazeres,1.57,2.76,favourite
UFC on FX 8 - Belfort vs. Rockhold,Yuri Alcantara,Iliarde Santos,1.2,5.5,favourite
UFC on FX 8 - Belfort vs. Rockhold,Fabio Maldonado,Roger Hollett,1.38,3.45,favourite
UFC on FX 8 - Belfort vs. Rockhold,Azamat Gashimov,John Lineker,1.87,2.1,underdog
UFC on FX 8 - Belfort vs. Rockhold,Jussier Formiga,Chris Cariaso,1.65,2.55,favourite
UFC on FX 8 - Belfort vs. Rockhold,Lucas Martins,Jeremy Larsen,1.33,3.85,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Cain Velasquez,Antonio Silva,1.16,6.75,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Junior dos Santos,Mark Hunt,1.25,5.25,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Glover Teixeira,James Te Huna,1.33,4.75,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Gray Maynard,T.J. Grant,1.74,2.65,underdog
UFC 160 - Velasquez vs. Bigfoot 2,Donald Cerrone,K.J. Noons,1.37,3.48,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Rick Story,Mike Pyle,1.67,2.5,underdog
UFC 160 - Velasquez vs. Bigfoot 2,Dennis Bermudez,Max Holloway,1.4,3.65,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Colton Smith,Robert Whittaker,1.71,2.75,underdog
UFC 160 - Velasquez vs. Bigfoot 2,Khabib Nurmagomedov,Abel Trujillo,1.4,3.75,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Stephen Thompson,Nah-Shon Burrell,1.63,2.65,favourite
UFC 160 - Velasquez vs. Bigfoot 2,Brian Bowles,George Roop,1.36,3.66,underdog
UFC 160 - Velasquez vs. Bigfoot 2,Jeremy Stephens,Estevan Payan,1.6,2.9,favourite
UFC on Fox 8 - Johnson vs. Moraga,Demetrious Johnson,John Moraga,1.25,4.75,favourite
UFC on Fox 8 - Johnson vs. Moraga,Rory MacDonald,Jake Ellenberger,1.43,3.14,favourite
UFC on Fox 8 - Johnson vs. Moraga,Robbie Lawler,Bobby Voelker,1.29,4.15,favourite
UFC on Fox 8 - Johnson vs. Moraga,Liz Carmouche,Jessica Andrade,1.2,5.75,favourite
UFC on Fox 8 - Johnson vs. Moraga,Jorge Masvidal,Michael Chiesa,1.4,3.55,favourite
UFC on Fox 8 - Johnson vs. Moraga,Danny Castillo,Tim Means,1.5,3.45,favourite
UFC on Fox 8 - Johnson vs. Moraga,Melvin Guillard,Mac Danzig,1.91,2.45,favourite
UFC on Fox 8 - Johnson vs. Moraga,Daron Cruickshank,Yves Edwards,1.67,2.75,favourite
UFC on Fox 8 - Johnson vs. Moraga,Ed Herman,Trevor Smith,1.57,3.0,favourite
