,event_date,event_name,weight_class,fighter1,fighter2,favourite,underdog,favourite_odds,underdog_odds,outcome,method,round,fighter1_height,fighter1_curr_weight,fighter1_dob,fighter1_reach,fighter1_stance,fighter1_sig_strikes_landed_pm,fighter1_sig_strikes_accuracy,fighter1_sig_strikes_absorbed_pm,fighter1_sig_strikes_defended,fighter1_takedown_avg_per15m,fighter1_takedown_accuracy,fighter1_takedown_defence,fighter1_submission_avg_attempted_per15m,fighter2_height,fighter2_curr_weight,fighter2_dob,fighter2_reach,fighter2_stance,fighter2_sig_strikes_landed_pm,fighter2_sig_strikes_accuracy,fighter2_sig_strikes_absorbed_pm,fighter2_sig_strikes_defended,fighter2_takedown_avg_per15m,fighter2_takedown_accuracy,fighter2_takedown_defence,fighter2_submission_avg_attempted_per15m,events_extract_ts,odds_extract_ts,fighter_extract_ts
0,2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Women's Flyweight,Alexa Grasso,Valentina Shevchenko,Valentina Shevchenko,Alexa Grasso,1.67,2.88,Draw,S-DEC,5,165.1,56.699,1993-08-09,167.64000000000001,Orthodox,4.67,0.43,3.95,0.58,0.41,0.45,0.59,0.6,165.1,56.699,1988-03-07,167.64000000000001,Southpaw,3.28,0.52,2.11,0.62,2.56,0.63,0.71,0.4,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
1,2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Welterweight,Jack Della Maddalena,Kevin Holland,Jack Della Maddalena,Kevin Holland,1.98,2.0,fighter1,S-DEC,3,180.34,77.11064,1996-09-10,185.42000000000002,Switch,7.2,0.53,4.83,0.67,0.27,0.2,0.82,0.3,190.5,77.11064,1992-11-05,205.74,Orthodox,4.39,0.49,3.22,0.51,0.78,0.38,0.53,0.5,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
2,2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Bantamweight,Raul Rosas Jr.,Terrence Mitchell,,,,,fighter1,KO/TKO              Punches,1,175.26,61.23492,2004-10-08,170.18,Switch,1.28,0.44,1.52,0.46,3.57,0.33,0.0,1.8,177.8,61.23492,1989-12-30,187.96,Orthodox,2.21,0.34,8.85,0.41,3.69,0.5,0.0,0.0,2023-09-21 02:02:55.178363,,2023-09-20 21:50:56.958211
3,2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Lightweight,Daniel Zellhuber,Christos Giagos,Daniel Zellhuber,Christos Giagos,1.4,3.1,fighter1,SUB              Anaconda Choke,2,185.42000000000002,70.30676,1999-07-07,195.58,Switch,5.26,0.39,4.79,0.53,0.28,0.33,0.94,0.3,177.8,70.30676,1990-01-23,180.34,Orthodox,2.98,0.42,2.95,0.51,2.93,0.37,0.52,0.4,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
4,2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Featherweight,Kyle Nelson,Fernando Padilla,Fernando Padilla,Kyle Nelson,1.4,3.15,fighter1,U-DEC,3,180.34,65.77083999999999,1991-04-20,180.34,Switch,3.46,0.44,4.56,0.52,1.15,0.2,0.73,0.7,185.42000000000002,65.77083999999999,1996-12-15,193.04,Orthodox,5.51,0.38,5.81,0.53,0.0,0.0,1.0,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
5,2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Women's Strawweight,Loopy Godinez,Elise Reed,,,,,fighter1,SUB              Rear Naked Choke,2,157.48,52.16308,1993-09-06,154.94,Orthodox,4.03,0.5,3.52,0.62,3.82,0.47,0.82,1.3,160.02,52.16308,1992-12-05,160.02,Orthodox,2.66,0.49,3.06,0.52,0.58,0.6,0.42,0.0,2023-09-21 02:02:55.178363,,2023-09-20 21:50:56.958211
6,2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Middleweight,Roman Kopylov,Josh Fremd,Roman Kopylov,Josh Fremd,1.24,4.0,fighter1,KO/TKO              Punch,2,182.88,83.91452,1991-05-04,190.5,Southpaw,4.72,0.53,4.11,0.6,0.47,0.5,0.92,0.0,193.04,83.91452,1994-01-15,193.04,Orthodox,2.93,0.43,2.63,0.47,0.84,0.25,0.31,1.4,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
7,2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Flyweight,Edgar Chairez,Daniel Lacerda,Edgar Chairez,Daniel Lacerda,1.45,2.85,No contest,Overturned,1,170.18,56.699,1996-01-27,180.34,Orthodox,2.6,0.48,4.26,0.41,0.0,0.0,0.45,1.3,167.64000000000001,56.699,1996-06-05,177.8,Switch,4.16,0.47,8.7,0.34,1.91,0.42,0.0,1.3,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
8,2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Women's Flyweight,Tracy Cortez,Jasmine Jasudavicius,Tracy Cortez,Jasmine Jasudavicius,1.93,2.1,fighter1,U-DEC,3,165.1,56.699,1993-12-10,165.1,Orthodox,4.11,0.53,2.79,0.6,2.33,0.46,0.75,0.3,170.18,56.699,1989-03-01,172.72,Orthodox,3.54,0.4,4.41,0.51,2.17,0.37,0.8,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
9,2023-09-16,UFC Fight Night: Grasso vs. Shevchenko 2,Lightweight,Charlie Campbell,Alex Reyes,Charlie Campbell,Alex Reyes,1.18,5.0,fighter1,KO/TKO              Punches,1,182.88,70.30676,1995-07-03,182.88,Orthodox,11.03,0.54,5.42,0.6,0.0,0.0,1.0,0.0,180.34,70.30676,1986-10-02,185.42000000000002,Orthodox,4.04,0.39,10.91,0.4,0.0,0.0,0.0,0.0,2023-09-21 02:02:55.178363,2023-12-28 11:40:25.898186,2023-09-20 21:50:56.958211
