,event_name,event_date,event_location,Weight class,fighter1,fighter2,outcome,Kd,Str,Td,Sub,Method,Round,Time,timestamp
0,UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Women's Flyweight,Alexa Grasso,Valentina Shevchenko,Draw,1                                  0,84                                  80,1                                  4,1                                  1,S-DEC,5,5:00,2023-09-21 02:02:55.178363
1,UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Welterweight,Jack Della Maddalena,Kevin Holland,fighter1,0                                  0,105                                  127,0                                  0,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363
2,UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Bantamweight,Raul Rosas Jr.,Terrence Mitchell,fighter1,1                                  0,18                                  6,0                                  0,0                                  0,KO/TKO              Punches,1,0:54,2023-09-21 02:02:55.178363
3,UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Lightweight,Daniel Zellhuber,Christos Giagos,fighter1,0                                  0,36                                  38,0                                  0,1                                  0,SUB              Anaconda Choke,2,3:26,2023-09-21 02:02:55.178363
4,UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Featherweight,Kyle Nelson,Fernando Padilla,fighter1,0                                  0,82                                  72,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
5,UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Women's Strawweight,Loopy Godinez,Elise Reed,fighter1,1                                  0,21                                  3,5                                  0,6                                  0,SUB              Rear Naked Choke,2,3:38,2023-09-21 02:02:55.178363
6,UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Middleweight,Roman Kopylov,Josh Fremd,fighter1,1                                  0,49                                  38,0                                  0,0                                  0,KO/TKO              Punch,2,4:44,2023-09-21 02:02:55.178363
7,UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Flyweight,Edgar Chairez,Daniel Lacerda,No contest,0                                  0,12                                  4,0                                  1,1                                  0,Overturned,1,3:47,2023-09-21 02:02:55.178363
8,UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Women's Flyweight,Tracy Cortez,Jasmine Jasudavicius,fighter1,0                                  0,103                                  77,0                                  2,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
9,UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Lightweight,Charlie Campbell,Alex Reyes,fighter1,1                                  0,43                                  14,0                                  0,0                                  0,KO/TKO              Punches,1,3:38,2023-09-21 02:02:55.178363
10,UFC Fight Night: Grasso vs. Shevchenko 2,September 16 2023,"Las Vegas, Nevada, USA",Women's Strawweight,Josefine Knutsson,Marnic Mann,fighter1,0                                  0,81                                  8,3                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
11,UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Middleweight,Sean Strickland,Israel Adesanya,fighter1,1                                  0,137                                  94,0                                  0,0                                  0,U-DEC,5,5:00,2023-09-21 02:02:55.178363
12,UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Heavyweight,Alexander Volkov,Tai Tuivasa,fighter1,1                                  0,93                                  28,0                                  0,1                                  0,SUB              Ezekiel Choke,2,4:37,2023-09-21 02:02:55.178363
13,UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Flyweight,Manel Kape,Felipe dos Santos,fighter1,1                                  0,112                                  99,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
14,UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Heavyweight,Justin Tafa,Austen Lane,fighter1,1                                  0,11                                  7,0                                  0,0                                  0,KO/TKO              Punch,1,1:22,2023-09-21 02:02:55.178363
15,UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Light Heavyweight,Tyson Pedro,Anton Turkalj,fighter1,1                                  0,16                                  8,0                                  0,0                                  0,KO/TKO              Punch,1,2:12,2023-09-21 02:02:55.178363
16,UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Light Heavyweight,Carlos Ulberg,Da Woon Jung,fighter1,1                                  0,81                                  58,1                                  1,1                                  0,SUB              Rear Naked Choke,3,4:49,2023-09-21 02:02:55.178363
17,UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Featherweight,Chepe Mariscal,Jack Jenkins,fighter1,0                                  0,38                                  41,1                                  0,0                                  0,KO/TKO,2,3:19,2023-09-21 02:02:55.178363
18,UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Lightweight,Jamie Mullarkey,John Makdessi,fighter1,0                                  0,88                                  83,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
19,UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Lightweight,Nasrat Haqparast,Landon Quinones,fighter1,0                                  0,171                                  148,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
20,UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Welterweight,Charles Radtke,Blood Diamond,fighter1,0                                  0,35                                  44,1                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
21,UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Featherweight,Gabriel Miranda,Shane Young,fighter1,0                                  0,2                                  1,1                                  0,1                                  0,SUB              Rear Naked Choke,1,0:59,2023-09-21 02:02:55.178363
22,UFC 293: Adesanya vs. Strickland,September 09 2023,"Sydney, New South Wales, Australia",Welterweight,Kevin Jousset,Kiefer Crosbie,fighter1,0                                  0,29                                  39,1                                  0,1                                  0,SUB              Rear Naked Choke,1,4:49,2023-09-21 02:02:55.178363
23,UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Heavyweight,Ciryl Gane,Serghei Spivac,fighter1,0                                  0,109                                  11,0                                  0,0                                  0,KO/TKO              Punches,2,3:44,2023-09-21 02:02:55.178363
24,UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Women's Flyweight,Manon Fiorot,Rose Namajunas,fighter1,0                                  0,58                                  60,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
25,UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Lightweight,Benoit Saint Denis,Thiago Moises,fighter1,0                                  0,101                                  24,5                                  1,0                                  1,KO/TKO              Punches,2,4:44,2023-09-21 02:02:55.178363
26,UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Light Heavyweight,Volkan Oezdemir,Bogdan Guskov,fighter1,1                                  0,26                                  8,1                                  0,1                                  0,SUB              Rear Naked Choke,1,3:46,2023-09-21 02:02:55.178363
27,UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Featherweight,William Gomis,Yanis Ghemmouri,fighter1,0                                  0,52                                  28,0                                  0,2                                  0,KO/TKO              Kick,3,2:20,2023-09-21 02:02:55.178363
28,UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Featherweight,Morgan Charriere,Manolo Zecchini,fighter1,1                                  0,26                                  9,0                                  0,0                                  0,KO/TKO              Kicks,1,3:51,2023-09-21 02:02:55.178363
29,UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Bantamweight,Taylor Lapilus,Caolan Loughran,fighter1,0                                  0,84                                  48,0                                  2,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
30,UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Welterweight,Ange Loosa,Rhys McKee,fighter1,0                                  0,98                                  77,6                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
31,UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Women's Bantamweight,Nora Cornolle,Joselyne Edwards,fighter1,0                                  0,40                                  18,0                                  5,0                                  1,U-DEC,3,5:00,2023-09-21 02:02:55.178363
32,UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Bantamweight,Farid Basharat,Kleydson Rodrigues,fighter1,0                                  0,4                                  7,2                                  0,1                                  0,SUB              Arm Triangle,1,4:15,2023-09-21 02:02:55.178363
33,UFC Fight Night: Gane vs. Spivac,September 02 2023,"Paris, Ile-de-France, France",Catch Weight,Jacqueline Cavalcanti,Zarah Fairn,fighter1,0                                  0,126                                  39,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
34,UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Featherweight,Max Holloway,Chan Sung Jung,fighter1,2                                  0,75                                  34,0                                  0,1                                  0,KO/TKO              Punch,3,0:23,2023-09-21 02:02:55.178363
35,UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Light Heavyweight,Anthony Smith,Ryan Spann,fighter1,0                                  0,91                                  59,1                                  0,0                                  0,S-DEC,3,5:00,2023-09-21 02:02:55.178363
36,UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Featherweight,Giga Chikadze,Alex Caceres,fighter1,0                                  0,65                                  62,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
37,UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Bantamweight,Rinya Nakamura,Fernie Garcia,fighter1,0                                  0,36                                  15,4                                  0,3                                  1,U-DEC,3,5:00,2023-09-21 02:02:55.178363
38,UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Women's Flyweight,Erin Blanchfield,Taila Santos,fighter1,0                                  0,61                                  55,0                                  0,0                                  0,U-DEC,3,5:00,2023-09-21 02:02:55.178363
39,UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Heavyweight,Junior Tafa,Parker Porter,fighter1,1                                  0,8                                  2,0                                  0,0                                  0,KO/TKO              Punch,1,1:24,2023-09-21 02:02:55.178363
40,UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Heavyweight,Waldo Cortes-Acosta,Lukasz Brzeski,fighter1,1                                  0,15                                  14,0                                  0,0                                  0,KO/TKO              Punches,1,3:01,2023-09-21 02:02:55.178363
41,UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Bantamweight,Garrett Armfield,Toshiomi Kazama,fighter1,1                                  0,45                                  15,0                                  0,0                                  0,KO/TKO              Punches,1,4:16,2023-09-21 02:02:55.178363
42,UFC Fight Night: Holloway vs. The Korean Zombie,August 26 2023,"Kallang, Singapore",Middleweight,Michal Oleksiejczuk,Chidi Njokuani,fighter1,0                                  0,44                                  29,1                                  0,0                                  0,KO/TKO              Punches,1,4:16,2023-09-21 02:02:55.178363
