,events,odds
0,UFC Fight Night: Grasso vs. Shevchenko 2,UFC 159 - Jones vs. Sonnen
1,UFC 293: Adesanya vs. Strickland,UFC on FX 8 - Belfort vs. Rockhold
2,UFC Fight Night: Gane vs. Spivac,UFC 160 - Velasquez vs. Bigfoot 2
3,UFC Fight Night: Holloway vs. The Korean Zombie,UFC on Fox 8 - Johnson vs. Moraga
4,UFC 292: Sterling vs. O'Malley,UFC 163 - Aldo vs. Korean Zombie
5,UFC Fight Night: Luque vs. Dos Anjos,UFC Fight Night 26 - Shogun vs. Sonnen
6,UFC Fight Night: Sandhagen vs. Font,UFC 167 - St. Pierre vs. Hendricks
7,UFC 291: Poirier vs. Gaethje 2,UFC - The Ultimate Fighter 18 Finale
8,UFC Fight Night: Aspinall vs. Tybura,UFC Fight Night 33 - Hunt vs. Bigfoot
9,UFC Fight Night: Holm vs. Bueno Silva,UFC 168 - Weidman vs. Silva 2
10,UFC 290: Volkanovski vs. Rodriguez,UFC Fight Night 34 - Saffiedine vs. Lim
11,UFC Fight Night: Strickland vs. Magomedov,UFC Fight Night 35 - Rockhold vs. Philippou
12,UFC Fight Night: Emmett vs. Topuria,UFC on Fox 10 - Henderson vs. Thomson
13,UFC Fight Night: Vettori vs. Cannonier,UFC 169 - Barao vs. Faber 2
14,UFC 289: Nunes vs. Aldana,UFC Fight Night 36 - Machida vs. Mousasi
15,UFC Fight Night: Kara-France vs. Albazi,UFC Fight Night 38 - Shogun vs. Henderson 2
16,UFC Fight Night: Dern vs. Hill,UFC - The Ultimate Fighter Nations Finale
17,UFC Fight Night: Rozenstruik vs. Almeida,UFC on Fox 11 - Werdum vs. Browne
18,UFC 288: Sterling vs. Cejudo,UFC 172 - Jones vs. Teixeira
19,UFC Fight Night: Song vs. Simon,UFC Fight Night 40 - Brown vs. Silva
20,UFC Fight Night: Pavlovich vs. Blaydes,UFC Fight Night 42 - Henderson vs. Khabilov
21,UFC Fight Night: Holloway vs. Allen,UFC 174 - Johnson vs. Bagautinov
22,UFC 287: Pereira vs. Adesanya 2,UFC Fight Night 44 - Swanson vs. Stephens
