event_date,weight_class,fighter1,fighter2,outcome
2023-09-16,Women's Flyweight,Alexa Grasso,Valentina Shevchenko,Draw
2023-09-16,Welterweight,Jack Della Maddalena,Kevin Holland,fighter1
2023-09-16,Bantamweight,Raul Rosas Jr.,Terrence Mitchell,fighter1
2023-09-16,Lightweight,Daniel Zellhuber,Christos Giagos,fighter1
2023-09-16,Featherweight,Kyle Nelson,Fernando Padilla,fighter1
2023-09-16,Women's Strawweight,Loopy Godinez,Elise Reed,fighter1
2023-09-16,Middleweight,Roman Kopylov,Josh Fremd,fighter1
2023-09-16,Flyweight,Edgar Chairez,Daniel Lacerda,No contest
2023-09-16,Women's Flyweight,Tracy Cortez,Jasmine Jasudavicius,fighter1
2023-09-16,Lightweight,Charlie Campbell,Alex Reyes,fighter1
2023-09-16,Women's Strawweight,Josefine Knutsson,Marnic Mann,fighter1
2023-09-09,Middleweight,Sean Strickland,Israel Adesanya,fighter1
2023-09-09,Heavyweight,Alexander Volkov,Tai Tuivasa,fighter1
2023-09-09,Flyweight,Manel Kape,Felipe dos Santos,fighter1
2023-09-09,Heavyweight,Justin Tafa,Austen Lane,fighter1
2023-09-09,Light Heavyweight,Tyson Pedro,Anton Turkalj,fighter1
2023-09-09,Light Heavyweight,Carlos Ulberg,Da Woon Jung,fighter1
2023-09-09,Featherweight,Chepe Mariscal,Jack Jenkins,fighter1
2023-09-09,Lightweight,Jamie Mullarkey,John Makdessi,fighter1
2023-09-09,Lightweight,Nasrat Haqparast,Landon Quinones,fighter1
2023-09-09,Welterweight,Charles Radtke,Blood Diamond,fighter1
2023-09-09,Featherweight,Gabriel Miranda,Shane Young,fighter1
2023-09-09,Welterweight,Kevin Jousset,Kiefer Crosbie,fighter1
2023-09-02,Heavyweight,Ciryl Gane,Serghei Spivac,fighter1
2023-09-02,Women's Flyweight,Manon Fiorot,Rose Namajunas,fighter1
2023-09-02,Lightweight,Benoit Saint Denis,Thiago Moises,fighter1
2023-09-02,Light Heavyweight,Volkan Oezdemir,Bogdan Guskov,fighter1
2023-09-02,Featherweight,William Gomis,Yanis Ghemmouri,fighter1
2023-09-02,Featherweight,Morgan Charriere,Manolo Zecchini,fighter1
2023-09-02,Bantamweight,Taylor Lapilus,Caolan Loughran,fighter1
2023-09-02,Welterweight,Ange Loosa,Rhys McKee,fighter1
2023-09-02,Women's Bantamweight,Nora Cornolle,Joselyne Edwards,fighter1
2023-09-02,Bantamweight,Farid Basharat,Kleydson Rodrigues,fighter1
2023-09-02,Catch Weight,Jacqueline Cavalcanti,Zarah Fairn,fighter1
2023-08-26,Featherweight,Max Holloway,Chan Sung Jung,fighter1
2023-08-26,Light Heavyweight,Anthony Smith,Ryan Spann,fighter1
2023-08-26,Featherweight,Giga Chikadze,Alex Caceres,fighter1
2023-08-26,Bantamweight,Rinya Nakamura,Fernie Garcia,fighter1
2023-08-26,Women's Flyweight,Erin Blanchfield,Taila Santos,fighter1
2023-08-26,Heavyweight,Junior Tafa,Parker Porter,fighter1
2023-08-26,Heavyweight,Waldo Cortes-Acosta,Lukasz Brzeski,fighter1
2023-08-26,Bantamweight,Garrett Armfield,Toshiomi Kazama,fighter1
2023-08-26,Middleweight,Michal Oleksiejczuk,Chidi Njokuani,fighter1
2023-08-26,Welterweight,Song Kenan,Rolando Bedoya,fighter1
2023-08-26,Welterweight,Billy Goff,Yusaku Kinoshita,fighter1
2023-08-26,Women's Flyweight,JJ Aldrich,Liang Na,fighter1
2023-08-26,Featherweight,SeungWoo Choi,Jarno Errens,fighter1
