link,date,event,fighter1,fighter2,fighter1_odds,fighter2_odds,result,timestamp
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Leon Edwards,Colby Covington,1.65,2.40,Leon Edwards,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Alexandre Pantoja,Brandon Royval,1.53,2.90,Alexandre Pantoja,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Shavkat Rakhmonov,Stephen Thompson,1.17,6.00,Shavkat Rakhmonov,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Paddy Pimblett,Tony Ferguson,1.33,3.95,Paddy Pimblett,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Bryce Mitchell,Josh Emmett,1.40,3.30,Josh Emmett,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Alonzo Menifield,Dustin Jacoby,3.40,1.38,Alonzo Menifield,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Irene Aldana,Karol Rosa,1.57,2.56,Irene Aldana,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Cody Garbrandt,Brian Kelleher,1.57,2.65,Cody Garbrandt,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Casey O'Neill,Ariane Lipski,1.57,2.63,Ariane Lipski,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Tagir Ulanbekov,Cody Durden,1.61,2.55,Tagir Ulanbekov,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Andre Fili,Lucas Almeida,1.61,2.46,Andre Fili,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Shamil Gaziev,Martin Buday,2.20,1.87,Shamil Gaziev,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Vicente Luque,Ian Garry,3.80,1.27,-,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1369,16th Dec 23,UFC 296,Randy Brown,Muslim Salikhov,1.36,3.18,-,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1416,9th Dec 23,UFC Fight Night: Song vs. Gutierrez,Yadong Song,Chris Gutierrez,1.29,4.10,Yadong Song,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1416,9th Dec 23,UFC Fight Night: Song vs. Gutierrez,Khalil Rountree,Anthony Smith,1.53,2.85,Khalil Rountree,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1416,9th Dec 23,UFC Fight Night: Song vs. Gutierrez,Nasrat Haqparast,Jamie Mullarkey,1.54,2.70,Nasrat Haqparast,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1416,9th Dec 23,UFC Fight Night: Song vs. Gutierrez,Su Mudaerji,Tim Elliott,2.43,1.65,Tim Elliott,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1416,9th Dec 23,UFC Fight Night: Song vs. Gutierrez,Andre Muniz,Jun Yong Park,2.70,1.55,Andre Muniz,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1416,9th Dec 23,UFC Fight Night: Song vs. Gutierrez,Kenan Song,Kevin Jousset,2.40,1.71,Kevin Jousset,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1416,9th Dec 23,UFC Fight Night: Song vs. Gutierrez,Hyun Sung Park,Shannon Ross,1.20,6.00,Hyun Sung Park,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1416,9th Dec 23,UFC Fight Night: Song vs. Gutierrez,Steve Garcia,Melquizael Costa,3.15,1.42,Steve Garcia,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1416,9th Dec 23,UFC Fight Night: Song vs. Gutierrez,Stephanie Egger,Luana Santos,2.45,1.67,Luana Santos,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1416,9th Dec 23,UFC Fight Night: Song vs. Gutierrez,Tatsuro Taira,Carlos Hernandez,1.18,5.60,Tatsuro Taira,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1416,9th Dec 23,UFC Fight Night: Song vs. Gutierrez,Rayanne Amanda,Talita Alencar,1.65,2.36,Talita Alencar,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1416,9th Dec 23,UFC Fight Night: Song vs. Gutierrez,Daniel Marcos,Carlos Vera,inf,inf,-,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1400,2nd Dec 23,UFC Fight Night: Dariush vs. Tsarukyan,Beneil Dariush,Arman Tsarukyan,3.55,1.38,Arman Tsarukyan,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1400,2nd Dec 23,UFC Fight Night: Dariush vs. Tsarukyan,Bobby Green,Jalin Turner,2.54,1.61,Jalin Turner,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1400,2nd Dec 23,UFC Fight Night: Dariush vs. Tsarukyan,Deiveson Figueiredo,Rob Font,2.20,1.83,Deiveson Figueiredo,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1400,2nd Dec 23,UFC Fight Night: Dariush vs. Tsarukyan,Sean Brady,Kelvin Gastelum,1.91,2.05,Sean Brady,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1400,2nd Dec 23,UFC Fight Night: Dariush vs. Tsarukyan,Clay Guida,Joaquim Silva,3.75,1.31,Joaquim Silva,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1400,2nd Dec 23,UFC Fight Night: Dariush vs. Tsarukyan,Punahele Soriano,Dustin Stoltzfus,1.38,3.90,Dustin Stoltzfus,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1400,2nd Dec 23,UFC Fight Night: Dariush vs. Tsarukyan,Miesha Tate,Julia Avila,2.25,1.74,Miesha Tate,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1400,2nd Dec 23,UFC Fight Night: Dariush vs. Tsarukyan,Zachary Reese,Cody Brundage,1.44,3.25,Cody Brundage,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1400,2nd Dec 23,UFC Fight Night: Dariush vs. Tsarukyan,Joe Solecki,Drakkar Klose,2.15,1.80,Drakkar Klose,2023-12-28 11:40:25.898186
http://www.betmma.tips/mma_event_betting_history.php?Event=1400,2nd Dec 23,UFC Fight Night: Dariush vs. Tsarukyan,Ihor Potieria,Rodolfo Bellato,4.50,1.25,Rodolfo Bellato,2023-12-28 11:40:25.898186
