event_date,fighter1,fighter2,outcome,weight_class,fighter1_curr_height,fighter1_reach,fighter1_stance,fighter1_sig_strikes_landed_pm,fighter1_sig_strikes_accuracy,fighter1_sig_strikes_absorbed_pm,fighter1_sig_strikes_defended,fighter1_takedown_avg_per15m,fighter1_takedown_accuracy,fighter1_takedown_defence,fighter1_submission_avg_attempted_per15m,fighter1_age,fighter2_curr_height,fighter2_reach,fighter2_stance,fighter2_sig_strikes_landed_pm,fighter2_sig_strikes_accuracy,fighter2_sig_strikes_absorbed_pm,fighter2_sig_strikes_defended,fighter2_takedown_avg_per15m,fighter2_takedown_accuracy,fighter2_takedown_defence,fighter2_submission_avg_attempted_per15m,fighter2_age
2023-09-16,Jack Della Maddalena,Kevin Holland,fighter1,Welterweight,180.34,185.42000000000002,Switch,7.2,0.53,4.83,0.67,0.27,0.2,0.82,0.3,27.0,190.5,205.74,Orthodox,4.39,0.49,3.22,0.51,0.78,0.38,0.53,0.5,31.0
2023-09-16,Raul Rosas Jr.,Terrence Mitchell,fighter1,Bantamweight,175.26,170.18,Switch,1.28,0.44,1.52,0.46,3.57,0.33,0.0,1.8,19.0,177.8,187.96,Orthodox,2.21,0.34,8.85,0.41,3.69,0.5,0.0,0.0,34.0
2023-09-16,Christos Giagos,Daniel Zellhuber,fighter2,Lightweight,177.8,180.34,Orthodox,2.98,0.42,2.95,0.51,2.93,0.37,0.52,0.4,33.0,185.42000000000002,195.58,Switch,5.26,0.39,4.79,0.53,0.28,0.33,0.94,0.3,24.0
2023-09-16,Fernando Padilla,Kyle Nelson,fighter2,Featherweight,185.42000000000002,193.04,Orthodox,5.51,0.38,5.81,0.53,0.0,0.0,1.0,0.0,27.0,180.34,180.34,Switch,3.46,0.44,4.56,0.52,1.15,0.2,0.73,0.7,32.0
2023-09-16,Elise Reed,Loopy Godinez,fighter2,Women's Strawweight,160.02,160.02,Orthodox,2.66,0.49,3.06,0.52,0.58,0.6,0.42,0.0,31.0,157.48,154.94,Orthodox,4.03,0.5,3.52,0.62,3.82,0.47,0.82,1.3,30.0
2023-09-16,Roman Kopylov,Josh Fremd,fighter1,Middleweight,182.88,190.5,Southpaw,4.72,0.53,4.11,0.6,0.47,0.5,0.92,0.0,32.0,193.04,193.04,Orthodox,2.93,0.43,2.63,0.47,0.84,0.25,0.31,1.4,29.0
2023-09-16,Tracy Cortez,Jasmine Jasudavicius,fighter1,Women's Flyweight,165.1,165.1,Orthodox,4.11,0.53,2.79,0.6,2.33,0.46,0.75,0.3,30.0,170.18,172.72,Orthodox,3.54,0.4,4.41,0.51,2.17,0.37,0.8,0.0,34.0
2023-09-16,Charlie Campbell,Alex Reyes,fighter1,Lightweight,182.88,182.88,Orthodox,11.03,0.54,5.42,0.6,0.0,0.0,1.0,0.0,28.0,180.34,185.42000000000002,Orthodox,4.04,0.39,10.91,0.4,0.0,0.0,0.0,0.0,37.0
2023-09-16,Marnic Mann,Josefine Knutsson,fighter2,Women's Strawweight,152.4,162.56,Southpaw,1.1,0.42,4.93,0.31,1.83,0.3,0.16,0.0,30.0,160.02,152.4,Orthodox,3.73,0.52,1.33,0.64,2.67,0.72,1.0,0.0,27.0
2023-09-09,Sean Strickland,Israel Adesanya,fighter1,Middleweight,185.42000000000002,193.04,Orthodox,5.82,0.41,4.24,0.63,0.92,0.64,0.84,0.2,32.0,193.04,203.2,Switch,3.93,0.48,3.11,0.56,0.05,0.14,0.77,0.1,34.0
